,cookie,type,retention,description
341,__stripe_sid,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
342,checkout-live-session,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
343,checkout-test-session,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
344,m,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
345,country,Functional,Persistent,We use Stripe to allow users to make credit card payments online. Stripe uses cookies to remember who our users are and to enable us to process payments without storing any credit card information on our own servers.
346,exp_last_visit,Functional,Persistent,"Our website is built on software called Expression Engine. Expression Engine uses these cookies to track the last 5 pages users viewed, the time of the last page load, and the date of a users last visit."
347,exp_last_activity,Functional,Persistent,"Our website is built on software called Expression Engine. Expression Engine uses these cookies to track the last 5 pages users viewed, the time of the last page load, and the date of a users last visit."
348,exp_perpage,Functional,Persistent,"Our website is built on software called Expression Engine. Expression Engine uses these cookies to track the last 5 pages users viewed, the time of the last page load, and the date of a users last visit."
349,exp_tracker,Functional,Persistent,"Our website is built on software called Expression Engine. Expression Engine uses these cookies to track the last 5 pages users viewed, the time of the last page load, and the date of a users last visit."
350,geo-redirect-dismissed,Functional,Persistent,"These cookies are used to identify users location, this allows us to suggest the appropriate regional website based on their location."
351,locale,Functional,Persistent,"These cookies are used to identify users location, this allows us to suggest the appropriate regional website based on their location."
352,1P_JAR,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
353,AID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
354,ANID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
355,APISID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
356,HSID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
357,OGP,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
358,OGPC,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
359,SAPISID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
360,SEARCH_SAMESITE,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
361,SIDSIDCC,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
362,SSID,Analytics,Session & persistent,"These cookies are used to collect information about how users use our website. The cookies collect information including the number of users to the website, where users have come to the website from and the pages they visit."
363,datr,Marketing,Persistent,"Facebook cookies create a link between a users visit to our website and Facebook. The DATR cookie is used when a web browser accesses Facebook, and helps Facebook identify suspicious login activity and keep users safe."
364,dpr,Marketing,Persistent,"These cookies help Facebook to provide users with with more personalised advertisements, and also to measure and improve advertisements."
365,fr,Marketing,Persistent,"These cookies help Facebook to provide users with with more personalised advertisements, and also to measure and improve advertisements."
366,sb,Marketing,Persistent,"These cookies help Facebook to provide users with with more personalised advertisements, and also to measure and improve advertisements."
367,wd,Marketing,Persistent,"These cookies help Facebook to provide users with with more personalised advertisements, and also to measure and improve advertisements."
368,_bit,Marketing,Persistent,"This cookie registers a unique ID that identifies a user's device during return visits as well as information on their link clicks from the URL shortening service, Bitly."
369,YT-REMOTE-CAST-INSTALLED,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
370,YT-REMOTE-CONNECTED-DEVICES,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
371,YT-REMOTE-DEVICE-ID,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
372,YT-REMOTE-FAST-CHECK-PERIOD,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
373,YT-REMOTE-SESSION-APP,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
374,YT-REMOTE-SESSION-NAME,Marketing,Persistent & Session,"These cookies are used by YouTube to enable tracking based on geographical GPS location, to keep statistics of how users used YouTube videos across different websites, to estimate the users bandwidth on pages with integrated YouTube videos, to keep statistics of what videos from YouTube the user has seen, and store user's video player preferences using embedded YouTube videos."
375,li_gc,,2 years,
376,_hjSessionUser_414361,,1 year,
377,_hjSession_414361,,30 minutes,
378,_gat_UA-16544465-4,Analytics,1 minute,A variation of the _gat cookie set by Google Analytics and Google Tag Manager to allow website owners to track visitor behaviour and measure site performance. The pattern element in the name contains the unique identity number of the account or website it relates to.
379,wordpress_test_cookie,Functional,session,This cookie is used to check if the cookies are enabled on the users' browser.
380,laravel_session,Functional,,Laravel session data
381,t_p_c,Functional,,Cookie to check if third part cookie is enabled
382,hiver_session,Functional,,Session data of hiver
383,Used to throttle request rate,Analytics,,Analytics
384,Used to determine new sessions/visits,Analytics,,Analytics
385,Stores the traffic source or campaign that explains how the user reached your site.,Analytics,,Analytics
386,Used to store visitor-level custom variable data.,Analytics,,Analytics
387,Used to distinguish users.,Analytics,,Analytics
388,Used to distinguish users,Analytics,,Analytics
389,km_ai,Analytics,,Used to provide site owners with information about how visitors use the site.
390,km_lv,Analytics,,Used to provide site owners with information about how visitors use the site.
391,km_ni,Analytics,,Used to provide site owners with information about how visitors use the site.
392,__hstc,Analytics,,Targeting
393,__hssrc,Analytics,,Targeting
394,hsPagesViewedThisSession,Analytics,,To track the page view of known and unknown user.
395,_omappvp,Functional,,Used by OptinMonster to remember popup preferences
396,om-frbik3yjw9we3ghekeyk,Functional,,Used by OptinMonster to remember popup preferences
397,omSeen-gqieqg5vinvatypyjw2g,Functional,,Used by OptinMonster to remember popup preferences
398,om-gqieqg5vinvatypyjw2g,Functional,,Used by OptinMonster to remember popup preferences
399,apt.uid,Analytics,,Used for Gainsight PX analytics
400,apt.sid,Analytics,,Used for Gainsight PX analytics
401,__distillery,Analytics,,Used by Wistia
402,cb_anonymous_id,Marketing,,Used by Clearbit for
403,cb_group_id,Marketing,,Used by Clearbit
404,cb_user_id,Marketing,,Used by Clearbit
405,__adroll,Marketing,,Used by Rollworks for retargeting
406,__adroll_shared,Marketing,,Used by Rollworks for retargeting
407,gT,Marketing,,Used by Rollworks for retargeting
408,KRTBCOOKIE_80,Marketing,,Used by Rollworks for retargeting
409,SyncRTB3,Marketing,,Used by Rollworks for retargeting
410,KRTBCOOKIE_377,Marketing,,Used by Rollworks for retargeting
411,KRTBCOOKIE_330,Marketing,,Used by Rollworks for retargeting
412,KRTBCOOKIE_1074,Marketing,,Used by Rollworks for retargeting
413,KRTBCOOKIE_391,Marketing,,Used by Rollworks for retargeting
414,KRTBCOOKIE_57,Marketing,,Used by Rollworks for retargeting
415,KRTBCOOKIE_594,Marketing,,Used by Rollworks for retargeting
416,DPSync3,Marketing,,Used by Rollworks for retargeting
417,KRTBCOOKIE_107,Marketing,,Used by Rollworks for retargeting
418,KRTBCOOKIE_904,Marketing,,Used by Rollworks for retargeting
419,KADUSERCOOKIE,Marketing,,Used by Rollworks for retargeting
420,KRTBCOOKIE_10,Marketing,,Used by Rollworks for retargeting
421,KRTBCOOKIE_699,Marketing,,Used by Rollworks for retargeting
422,KRTBCOOKIE_153,Marketing,,Used by Rollworks for retargeting
423,KRTBCOOKIE_1159,Marketing,,Used by Rollworks for retargeting
424,KRTBCOOKIE_32,Marketing,,Used by Rollworks for retargeting
425,KRTBCOOKIE_1235,Marketing,,Used by Rollworks for retargeting
426,SPugT,Marketing,,Used by Rollworks for retargeting
427,KRTBCOOKIE_27,Marketing,,Used by Rollworks for retargeting
428,KTPCACOOKIE,Marketing,,Used by Rollworks for retargeting
429,chkChromeAb67Sec,Marketing,,Used by Rollworks for retargeting
430,KRTBCOOKIE_22,Marketing,,Used by Rollworks for retargeting
431,PUBMDCID,Marketing,,Used by Rollworks for retargeting
432,KRTBCOOKIE_466,Marketing,,Used by Rollworks for retargeting
433,KRTBCOOKIE_218,Marketing,,Used by Rollworks for retargeting
434,dtlct,Marketing,,Used by Rollworks for retargeting
435,adot,Marketing,,Used by Rollworks for retargeting
436,actvagnt,Marketing,,Used by Rollworks for retargeting
437,bdswch,Marketing,,Used by Rollworks for retargeting
438,obuid,Marketing,,Used by Rollworks for retargeting
439,rtbhs,Marketing,,Used by Rollworks for retargeting
440,zmnta,Marketing,,Used by Rollworks for retargeting
441,mdfrc,Marketing,,Used by Rollworks for retargeting
442,rbcn,Marketing,,Used by Rollworks for retargeting
443,adrl,Marketing,,Used by Rollworks for retargeting
444,criteo,Marketing,,Used by Rollworks for retargeting
445,apnxs,Marketing,,Used by Rollworks for retargeting
446,ttd,Marketing,,Used by Rollworks for retargeting
447,t_gid,Marketing,,Used by Rollworks for retargeting
448,YBFYVWARYNgA,Marketing,,Used by Rollworks for retargeting
449,CMPRO,Marketing,,Used by Rollworks for retargeting
450,CMPS,Marketing,,Used by Rollworks for retargeting
451,CMID,Marketing,,Used by Rollworks for retargeting
452,CMRUM3,Marketing,,Used by Rollworks for retargeting
453,DSID,Marketing,,Used by Rollworks for retargeting
454,RUL,Marketing,,Used by Rollworks for retargeting
455,APID,Marketing,,Used by Rollworks for retargeting
456,_PCCSID_613813,Functional,,Used by Purechat for chat support
457,_PCCSID_26281,Functional,,Used by Purechat for chat support
458,OptanonConsent,Functional,,Used by Purechat for chat support
459,_PCCID,Functional,,Used by Purechat for chat support
460,thirdPartyCookiesEnabled,Functional,,Used by Purechat for chat support
461,eu_cookie_consent,,,Stores your cookie preferences (so you won’t be asked again)
462,cck3,,,Stores your preferences for 3rd-party cookies (so you won't be asked again)
463,cck1,, 6 months,Stores your cookie preferences (so you won’t be asked again)
464,clima_survey,, deleted after 1 day after you close the survey popup,Stores information on whether you have already replied to a survey pop-up – so you won't be asked again
465,econt_font_size,, deleted after you quit your browser,"Stores the font size in which you want to read the content on the web page, following selection from the font-size menu"
466,econt_resizable_width,, deleted after you quit your browser,Remembers the width of the sidebar
467,escoLanguage,,,Stores your language preferences
468,cookie-agreed,, 100 days,Stores your cookie preferences (so you won’t be asked again)
469,tracesLanguage,, 30 days,Stores your language preferences
470,announcementTooltipIds,, 365 days,Stores information on whether you have already read and dismissed pop-ups – so you won't be asked again.
471,debug-mode,, 365 days,For technical problem investigations
472,asp_transient_id,Functional,6 Day(s),Unique id that identifies the userâ€™s session
473,CookieLawInfoConsent,Functional,1 Year(s),Records button state of the corresponding cookie categories
474,pmpro_visit,Functional,Session,User visit tracking
475,pum-*,Functional,1 Day(s),Controls pop-up display repetition
476,wfwaf-authcookie-*,Functional,Session,Used to perform a capability check of the logged in user
477,wordpress_logged_in_*,Functional,Session,"Used to indicate when users are logged in, and who they are"
478,wordpress_sec_*,Functional,15 Day(s),"Provides protection against hackers, stores account details"
479,wp-settings-*,Functional,1 Year(s),Used to persist a userâ€™s wp-admin configuration
480,wp-settings-time-*,Functional,1 Year(s),Used to customize the view of users admin interface and the front-end of the website
481,__Secure-1PAPISID,,2 Year(s),Used for the purpose of targeted advertising
482,__Secure-1PSID,,2 Year(s),Used for the purpose of targeted advertising
483,__Secure-3PAPISID,,2 Year(s),Used for the purpose of targeted advertising
484,__Secure-3PSID,,2 Year(s),Used for the purpose of targeted advertising
485,__Secure-3PSIDCC,,2 Year(s),Used for the purpose of targeted advertising
486,_gat_gtag_*,,1 Minute(s),Used by Google to throttle request rate
487,fcookie,,7 Day(s),Used for bot detection
488,li_alerts,,1 Year(s),"Used to track impressions of LinkedIn alerts, such as the Cookie Banner and to implement cool off periods for display of alerts"
489,_ga_*,,2 Year(s),This cookie is set due to Twitter integration and sharing capabilities for the social media
490,att,,1 Day(s),This cookie is set due to Twitter integration and sharing capabilities for the social media
491,guest_id_ads,,2 Year(s),This cookie is set due to Twitter integration and sharing capabilities for the social media
492,guest_id_marketing,,2 Year(s),Used to detect whether a user is logged into Twitter
493,ads,Marketing,,Tracks if a visitor has clicked an ad before.
494,lr_nw,Marketing,,Counts and tracks pageviews on Longreads.com. Used to determine whether or not to show our Membership popup message.
495,wordpress_eli,Marketing,,Reduces the display of ads for repeat visitors.
496,__ssid,Functional,,For processing payment and to aid in fraud detection.
497,__stripe_sid / __stripe_mid,Functional,,For processing payment and to aid in fraud detection.
498,_longreads_prod_new,Functional,,"Authentication for Longreads.com Member accounts. Only active when logged in, on *.longreads.com domains."
499,akm_mobile,Functional,,Stores whether a user has chosen to view the mobile version of a website.
500,botdlang,Functional,,Used to track the language a user has selected to view popular blogs in.
501,country_code,Functional,,Used in order to determine whether or not the cookie banner should be shown. Set immediately on page load and retained for 6 hours to remember the visitor’s country.
502,csrftoken,Functional,,Python/Ajax security cookie used on accounts.longreads.com.
503,forterToken,Functional,,For processing payment and to aid in fraud detection.
504,landingpage_currency,Functional,,Defines the currency displayed in WordPress.com landing pages.
505,pd_dashboard,Functional,,Records last used folder in Crowdsignal dashboard so it can be reopened upon user’s next visit.
506,PD_USER_AUTH,Functional,,Login cookie used to identify Crowdsignal user.
507,sensitive_pixel_option,Functional,,Remembers the state of visitor acceptance to the cookie banner. Only set when the visitor clicks Accept.
508,twostep_auth,Functional,,Set when the user is logged in using two factor authentication.
509,wordpress_logged_in*,Functional,,Checks whether or not the current visitor is a logged in WordPress.com user.
510,wp-settings-{user_id},Functional,,Persists a user’s wp-admin configuration.
511,wp_sharing_{id},Functional,,Tracks whether or not a user has already performed an action.
512,CONSENT [x3],Functional,2 years,Used to detect if the visitor has accepted the marketing category in the cookie banner. This cookie is necessary for GDPR-compliance of the website.
513,hex (32),Functional,Session,Used to manage server calls to the website's backend systems.
514,incap_ses_# [x2],Functional,Session,Preserves users states across page requests.
515,nlbi_#,Functional,Session,Used to ensure website security and fraud detection.
516,visid_incap_# [x2],Functional,1 year,Preserves users states across page requests.
517,___utmvc,Marketing,1 day,Collects information on user behaviour on multiple websites. This information is used in order to optimize the relevance of advertisement on the website.
518,___utmvc#,Marketing,1 day,"Collects information on visitor behaviour on multiple websites. This information is used on the website, in order to optimize the relevance of advertisement."
519,tr,Marketing,Session,Used by Facebook to deliver a series of advertisement products such as real time bidding from third party advertisers.
520,yt.innertube::nextId,Marketing,Persistent,Registers a unique ID to keep statistics of what videos from YouTube the user has seen.
521,yt.innertube::requests,Marketing,Persistent,Registers a unique ID to keep statistics of what videos from YouTube the user has seen.
522,_ga_#,Analytics,2 years,Used by Google Analytics to collect data on the number of times a user has visited the website as well as dates for the first and most recent visit.
523,__epiXSRF,Functional,End of session,This cookie ensures the integrity and confidentiality of any POST/Submits.
524,CivicaRegionModalCookie,Functional,90 days,This cookie is used by the ‘CivicaSelectedRegion’ cookie to determine whether the region value is set or not.
525,CivicaSelectedRegion,Functional,90 days,Sets your region and remembers this on additional visits.
526,TiPMix,Functional,1 day,This is used for load balancing.
527,x-ms-routing-name,Functional,1 day,This is used for load balancing.
528,_dc_gtm_UA-#,Functional,1 day,This cookie utilizes Google Tag Manager to load other scripts and code into our pages.
529,AI_buffer,Functional,End of session,Set by Microsoft Application Insights to allow Microsoft to monitor the health and status of the server and website.
530,AI_sentBuffer,Functional,End of session,Set by Microsoft Application Insights to allow Microsoft to monitor the health and status of the server and website.
531,.AspNet.ApplicationCookie,Functional,31 minutes,This session cookie is used to store account information for the duration of the session..
532,cf_use_ob,Functional,1 minute,"Used by the content network, Cloudflare, to improve page loading times."
533,CivicaCSCookie,Functional,365 days,Used to support functionality on the website and remembers visitor group criteria in order to present relevant content.
534,id,Marketing,52 days,This cookie builds a profile of your interests and shows you relevant ads on other sites.
535,__widgetsettings,Marketing,Persistent,"Used to track and analyse advertising across the Twitter platform. It personalises your experience and remembers your preferences, such as customizing content and stories, as well as more relevant advertising"
536,i/jot/syndication,Marketing,End of session,These cookies are set by Twitter as a result of the integration of our Twitter feed with our website.
537,remember_checked,Marketing,1385 days,Used by Twitter as part of their embedded services. It determines whether you are logged into Twitter during your browser session.
538,secure_session,Marketing,5037 days,Provides integration with the twitter website (visitor identification).
539,twll,Marketing,1385 days,To track visitor information and for security authentication.
540,dkv,Marketing,End of session,Set by YouTube to deliver adverts more relevant to you and your interests. They are also used to limit the number of times you see an advertisement as well as help measure the effectiveness of the advertising campaign.
541,awxxxx,Marketing,30 days,This is set when you click on one of our links and is used to let the advertiser and us know the website from which you came.
542,wmc,Marketing,10 years,Used by workable.com to assign a unique visitor ID.
543,Facebook cookie- name not provided,Marketing,End of session,Session cookie used to serve advertising to users when logged into its services.
544,_gali,Analytics,1 day,Used to determine which links on a page are being accessed
545,_gat_UA-#,Analytics,End of session,Used to collect information about how you use the website.
546,_gclxxxx,Analytics,90 days,Google conversion tracking cookie.
547,Collect,Analytics,End of session,Sends data to Google Analytics about your device and behavior.
548,ELQSTATUS,Analytics,395 days,Recognises when you visit our website and tracks the pages you visit. We use this information to help improve our website
549,iv,Analytics,2 years,Used to collect information about how you use the website.
550,is,Analytics,30 minutes,Used to collect information about how you use the website.Used in conjunction with 'iv'
551,_cookieConsent,Functional,1 year,Cookie Consent Disclaimer text (we cannot store disclaimer on user computer as we have not taken consent yet. this cookie should have value of only yes or no) (show the banner content using other programming / development)
552,"_ga, _gat, _gat_newTracker",Functional,2 years,Tracking ID for the analytics
553,mid_disclaimer,Functional,End of browser session,Cookie to track the site wide disclaimer is accepted. It is session cookie.
554,.ASPXFORMSAUTH,Functional,End of browser session,This attribute is used to specify the HTTP cookie to use for authentication.
555,.ASPXROLES,Functional,End of browser session,Cookies used to keep track of if the visitor has any permissions on the website. Only used for logged in users
556,YouTube,Functional,End of browser session,For YouTube videos on page
557,Brightcove,Functional,End of browser session,For Brightcove videos on page
558,age_gate_access,Functional,End of browser session,Cookie to track the Age gate is accepted. It is session cookie
559,error_reason,Functional,End of browser session,Cookie to track the error reason for the age gate form validation. It is session cookie.
560,error_messages,Functional,End of browser session,Cookie to track the error messages for the age gate form. It is session cookie.
561,_grecaptcha,Functional,Persistent,"This cookie is used to distinguish between humans and bots. This is beneficial for the website, in order to make valid reports on the use of their website."
562,CookieConsentBulkSetting-#,Functional,Persistent,Enables cookie consent across multiple websites
563,sc-language,Functional,1 ano,Usado para lembrar a preferência de idioma selecionada pelo visitante.
564,sw-locale,Functional,Nenhuma,Preferência de local selecionada pelo visitante.
565,sw-locale-detected,Functional,Sessão,"Local do visitante, conforme detectado pelo servidor."
566,taboola_session_id,Marketing,Sessão,Cria um ID de usuário temporário por sessão. um ID de usuário temporário por sessão
567,taboola_fp_td_user_id,Marketing,1 ano,Indica que o usuário clicou em um item recomendado pelos Serviços da Taboola. Isso é usado para fins de denúncia e análise.
568,auid,Marketing,90 dias,"Mantém o ID de publicidade do usuário em dispositivos móveis. Usado para rastrear ações de usuários, como cliques nas recomendações."
569,RoktRecogniser,Marketing,Indefinido ou até ser removido,"Permite que o Rokt rastreie usuários únicos em dispositivos (que optaram por utilizar o widget do Rokt), o que nos permite otimizar nossas campanhas de marketing."
570,_uetmsclkid,Marketing,90 dias,"Usado para capturar o ID de cliques da Microsoft a partir da URL do anúncio, melhorando o acompanhamento de conversões. Apenas nos EUA."
571,sc_seen_popup,Marketing,1 ano,Usado para lembrar se um pop-up de lista de e-mails foi visto.
572,lpv,Marketing,1 dia,Identifica a conversão do site ou anúncio da Pardot.
573,Pardot,Marketing,Sessão,Usado para indicar uma sessão de visitante ativa enquanto ele estiver conectado como usuário no site da Pardot.
574,visitor_id-hash,Marketing,1 ano,Usado para acompanhar o visitante até a conta correta da Pardot.
575,X-PP-L7,Marketing,Sessão,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
576,X-PP-Silover,Marketing,9 horas,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
577,LANG,Marketing,1 dia,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
578,l7_az,Marketing,1 dia,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
579,x-pp-s,Marketing,Sessão,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
580,tsrce,Marketing,4 dias,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
581,nsid,Marketing,Sessão,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
582,AKDC,Marketing,9 horas,Oferece o envio de mensagem com opção de crédito via PayPal nos EUA.
583,_sctr,Marketing,1 ano,Usado para determinar se uma tag de terceiros será usada no Pixel de anúncios do Snap.
584,sc-cookies-accepted,Functional,1 ano,Usado para determinar se um visitante aceitou os cookies.
585,Marketing,Functional,1 ano,Usado para salvar preferências de cookies de Marketing.
586,Performance,Functional,1 ano,Usado para salvar preferências de cookies de Desempenho e Analytics.
587,Preferences,Functional,1 ano,Usado para salvar preferências do cookie Preferences.
588,sc-country,Functional,1 dia,Usado para determinar o país de um visitante.
589,bpazaws52gukakzc__*,Functional,6 horas,Recurso de captcha para formulários.
590,ngpskuephr,Functional,Sessão,Usado para páginas protegidas que exigem acesso por login.
591,Q4_ASPX_PUBLIC_{user},Functional,Nenhuma,
592,adtsgidr5,Functional,4 horas,"Usado para proteção anti-CSRF, relacionado à inscrição de alertas de e-mail."
593,giftfromsnap_session,Functional,24 horas,Mantém dados para a sessão do usuário.
594,"SSN-""[long-uid]”",Functional,30 minutos,Somente quando o vídeo está sendo reproduzido. Vídeo do StreamShark.
595,shopify-cart,Functional,Nenhuma,Objeto de armazenamento local usado para armazenar itens adicionados a um carrinho e construir um URL de verificação da Shopify.
596,_ga_{container-id},Analytics,2 anos,Persiste o estado de sessão.
597,_gat_UA-{property-id},Analytics,1 minuto,Usado para limitar a taxa de solicitações.
598,_scav2,Analytics,30 dias,Usado para distinguir visitantes não autenticados.
599,_scu,Analytics,90 dias,Usado para distinguir visitantes não autenticados.
600,OptanonAlertBox*,Functional,1 year,Used to store the cookie consent status of the user*
601,OptanonConsent*,Functional,1 year,Used to store the cookie consent status of the user*
602,local_language,Functional,Session,Used to save the users language preferences
603,fe_typo_user*,Functional,Session,Used by the content Management System TYPO3 to store user preferences*
604,cookie-agreed-categories,Functional,100 days,Used to store the cookie consent status of the user
605,cookie_allow,Functional,1 year,Used to store the cookie consent status of the user
606,cookie_instagram,Functional,48 hours,Used to store the third party consent status of the user
607,wordpress_test,Functional,Session,Used to store the cookie consent status of the user
608,disclmaimer_agree*,Functional,Session,"Used to store the consent status to the ""General Conditions of Use"""
609,AjaXplorer*,Functional,Session,Cookie to support ajax based file syncing
610,answeredMarketoForm,Functional,30 days,saves user interaction status
611,displayMarketoForm,Functional,Session,saves user interaction status
612,BIGipServernld102web-nginx-app_https,Functional,Session,used to deliver forms from go.symrise.com
613,lumesse_language,Functional,Session,Cookie used by Saba Software Inc. to provide a digital application System. Used to save the users language settings
614,SSN-{event_tracking_key}-1*,Functional,30 minutes,"Unique but anonymous key for the purpose of tracking and submitting player analytics events (watching session, browser, device, approximate geolocation) for the StreamShark Real Time Stats view.*"
615,_utmb,Functional,30 minutes,Used to determine new sessions/visits. The cookie is created when the javascript library executes and no existing __utmb cookies exists. The cookie is updated every time data is sent to Google Analytics.
616,_utma,Functional,2 years,Used to distinguish users and sessions. The cookie is created when the javascript library executes and no existing __utma cookies exists. The cookie is updated every time data is sent to Google Analytics.
617,_utmt,Functional,10 minutes,Used to throttle request rate.
618,_utmc,Functional,Session,"Not used in ga.js. Set for interoperability with urchin.js. Historically, this cookie operated in conjunction with the __utmb cookie to determine whether the user was in a new session/visit."
619,_utmz,Functional,6 months,Stores the traffic source or campaign that explains how the user reached your site. The cookie is created when the javascript library executes and is updated every time data is sent to Google Analytics.
620,_ga*,Functional,2 years,Used to distinguish users.*
621,ak_bmsc,Functional,1 minute,Showing and loading Charts with real-time counts
622,bm_sv,Functional,1 minute,Showing and loading Charts with real-time counts
623,_gat_UA-xxxxxxxx-x*,Analytics,1 minute,universal Google analytics ID*
624,_gat*,Analytics,1 minute,Google Analytics tracking Cookie used to identify users*
625,_gid*,Analytics,24 hours,Google Analytics tracking Cookie used to throttle the request rate*
626,cookiePreferences,Functional,2 years,Registers cookie preferences of a user
627,CookieConsentBulkTicket,Functional,1 year,Enables sharing cookie preferences across domains / websites
628,userlang,Functional,1 year,Saves language preferences of user for a website
629,cookieconsent_variant,Functional,1 year,Stores the variant of shown cookie banner
630,cookieconsent_system,Functional,1 year,Cookie consent system cookie for saving user's cookie opt-in/out choices.
631,cookieconsent_level,Functional,1 year,Cookie consent system cookie for storing the level of cookie consent.
632,cookieconsent_seen,Functional,1 year,Used to support the GDPR / AVG compliant cookie consent system
633,_ga_,Analytics,2 years,ID used to identify users
634,_dc_gtm_,Analytics,1 minute,Used to monitor number of Google Analytics server requests
635,AMP_TOKEN,Analytics,30 seconds till 1 year,"Contains a token code that is used to read out a Client ID from the AMP Client ID Service. By matching this ID with that of Google Analytics, users can be matched when switching between AMP content and non-AMP content.

Reference: https://support.google.com/analytics/answer/7486764?hl=en"
636,_gat_gtag_,Analytics,1 hour,Used to set and get tracking data
637,_gac_,Marketing,90 days,Contains information related to marketing campaigns of the user. These are shared with Google AdWords / Google Ads when the Google Ads and Google Analytics accounts are linked together.
638,__utmx,Analytics,18 months,Used to determine whether a user is included in an A / B or Multivariate test.
639,__utmxx,Analytics,18 months,Used to determine when the A / B or Multivariate test in which the user participates ends
640,S1,Analytics,5 years,Comscore: statistical and analytical data
641,C1,Analytics,5 years,Comscore: statistical and analytical data
642,s_cc,Analytics,End of session (browser),Used to determine if browser of user accepts cookies or not
643,s_sq,Analytics,End of session (browser),Used to register the previous link clicked by the user
644,s_vi,Analytics,2 years,Contains a unique ID to identify a user
645,s_fid,Analytics,5 years,Alternative cookie with unique user ID / timestamp when the s_vi cookie can not be set for technical reasons
646,fid,Analytics,2 years,"If other visitor ID methods fail, Adobe sets a fallback cookie or uses a combination of IP address and user agent to identify the visitor."
647,demdex,Marketing,180 days after last activity or 10 years when opting out,"Unique value with which Audience Manager can identify a user. Used, among others, for identification, segmentation, modeling and reporting purposes."
648,dextp,Marketing,180 days after last activity ,Registers the date plus time (timestamp) on which a data synchronization was last performed by the Audience Manager.
649,dst,Marketing,180 days after last activity or 10 years when opting out,Used to register a possible error message when sending data to a linked system.
650,_dp,Marketing,30 seconds,Used to determine if browser of user accepts cookies or not
651,aam_uuid,Marketing,1 month,Adobe Audience Manager - data management platform uses these cookies to assign a unique ID when users visit a website.
